Date,Forecasted Sales ($M)
2016-03-31,3434.7325753580217
2016-06-30,3602.644984448832
2016-09-30,3829.1516232094164
2016-12-31,3672.642472754995
2017-03-31,3441.6223048339757
2017-06-30,3586.6458965972965
2017-09-30,3821.6406778064993
2017-12-31,3688.160930527099
